tweet_id	tweet_datetime	tweet_unixtime	artist_name	track_title	country
703	2012-08-01 14:49:01	1343825341	Dream Theater	Pull Me Under	ES
506	2012-03-29 03:49:35	1332985775	Guaco	Luciana	ES
429	2012-08-01 21:02:24	1343847744	Joan Jett	Do You Wanna Touch Me	ES
936	2012-01-20 13:40:25	1327063225	Madeon	Shuriken	ES
888	2012-01-20 13:32:34	1327062754	Pendulum	Witchcraft	ES
660	2012-08-01 14:40:01	1343824801	Poison	Your Mama Don't Dance	ES
920	2012-02-09 03:26:57	1328754417	The Red Jumpsuit Apparatus	Your Guardian Angel	ES
910	2012-01-20 13:35:26	1327062926	Three Days Grace	Break	ES
886	2012-08-01 15:37:55	1343828275	50 Cent	I Ain't Gonna Lie	FR
904	2012-08-01 15:41:24	1343828484	Alicia Keys	New Day	FR
847	2012-08-01 15:29:27	1343827767	Ashanti	The Way That I Love You	FR
102	2012-07-30 14:26:50	1343651210	Barry	Can't Get Enough of Your Love Baby	FR
594	2012-08-01 14:24:34	1343823874	Carl Douglas	Kung fu fighting	FR
4	2012-07-30 14:03:43	1343649823	Carly Rae Jepsen	Call Me Maybe	FR
140	2012-07-30 14:33:45	1343651625	Cherish	Do It to It	FR
520	2012-02-09 02:13:59	1328750039	Chris Brown	Deuces	FR
407	2012-02-09 01:56:35	1328748995	Coldplay	Hurts Like Heaven	FR
33	2012-07-30 14:08:55	1343650135	Elliott Yamin	Wait for You	FR
78	2012-07-30 14:18:27	1343650707	Foster The People	Warrant	FR
332	2012-08-01 20:34:33	1343846073	K Franklin	My Life Is in Your Hands	FR
768	2012-08-01 15:06:02	1343826362	Kaysha	One love	FR
419	2012-08-01 20:57:34	1343847454	Kery James	L'Impasse	FR
684	2012-08-01 14:43:38	1343825018	Keyshia Cole	Love	FR
633	2012-08-01 14:36:03	1343824563	Kid Ink	Rumpshaker	FR
292	2012-02-09 01:38:36	1328747916	L.B.	Mambo Number 5	FR
123	2012-07-30 14:31:19	1343651479	Lil Wayne	The Motto	FR
305	2012-08-01 20:27:56	1343845676	Miley Cyrus	I Hope You Find It	FR
210	2012-07-30 14:52:42	1343652762	Nas	Daughters	FR
438	2012-08-01 21:03:41	1343847821	Nero	Promises	FR
413	2012-08-01 20:56:04	1343847364	Paramore	Brick by Boring Brick	FR
318	2012-08-01 20:31:00	1343845860	Rammstein	Ich will	FR
367	2012-08-01 20:43:40	1343846620	Rick Ross	Pirates	FR
183	2012-07-30 14:48:19	1343652499	Rihanna	Man Down	FR
222	2012-07-30 14:56:41	1343653001	Rihanna	Te amo	FR
148	2012-07-30 14:34:52	1343651692	Taylor Swift	Mine	FR
48	2012-07-30 14:10:22	1343650222	Tina	Je Voudrais	FR
786	2012-08-01 15:14:34	1343826874	Nas	Nasty	GA
238	2012-08-01 20:15:20	1343844920	Nas	Stay	GA
18	2012-03-29 02:23:28	1332980608	A$AP Rocky	Wassup	GB
844	2012-02-02 21:20:32	1328214032	Air	Seven Stars	GB
790	2012-08-01 15:15:08	1343826908	All Time Low	Therapy	GB
1	2012-02-09 00:43:00	1328744580	Anonymous 4	Agnus dei	GB
110	2012-02-09 01:07:08	1328746028	Arcade Fire	Power Out	GB
945	2012-01-20 13:41:58	1327063318	Arctic Monkeys	Black Treacle	GB
307	2012-02-09 01:40:40	1328748040	Ash	Does Your Mother Know	GB
549	2012-03-29 03:56:16	1332986176	B.E.P.	Meet me halfway	GB
919	2012-01-20 13:36:32	1327062992	Biffy Clyro	Bubbles	GB
461	2012-02-09 02:04:40	1328749480	Bill Medley	I've Had the Time of My Life	GB
301	2012-03-29 03:21:25	1332984085	Bob Dylan	Things Have Changed	GB
616	2012-03-29 04:08:18	1332986898	Bob Marley	Buffalo Soldier	GB
868	2012-02-09 03:17:31	1328753851	Boney M	Daddy Cool	GB
93	2012-02-09 01:03:38	1328745818	Bowie	Sound and Vision	GB
755	2012-02-09 02:56:34	1328752594	Brothers Johnson	Strawberry Letter 23	GB
716	2012-02-09 02:47:14	1328752034	Bruce Springsteen	We Take Care of Our Own	GB
356	2012-03-29 03:27:40	1332984460	Carly Rae Jepsen	Call Me Maybe	GB
15	2012-02-09 00:45:20	1328744720	Cass McCombs	Love Thine Enemy	GB
962	2012-02-09 03:35:04	1328754904	Cheap Trick	I Want You to Want Me	GB
246	2012-03-29 03:13:27	1332983607	Chris Isaak	My Baby Left Me	GB
108	2012-02-09 01:06:57	1328746017	Christina Perri	A Thousand Years	GB
40	2012-03-29 02:26:40	1332980800	Clams Casino	Illest Alive	GB
751	2012-03-29 04:32:00	1332988320	Clutch	Burning Beard	GB
